20240613 101600,5495.25,5495.75,5495.25,5495.25,19
20240613 101700,5495.25,5495.25,5494.75,5494.75,44
20240613 101800,5494.75,5494.75,5493.25,5493.25,77
20240613 101900,5493.25,5493.25,5492,5492.5,163
20240613 102000,5492.5,5492.5,5491,5492,109
20240613 102100,5492.25,5493,5492.25,5492.75,83
20240613 102200,5492.75,5492.75,5492,5492.75,50
20240613 102300,5492.75,5493.25,5492.5,5493.25,144
20240613 102400,5493.25,5493.75,5493.25,5493.75,38
20240613 102500,5493.75,5494,5493.75,5494,71
20240613 102600,5494,5494.75,5494,5494.5,43
20240613 102700,5495,5496,5495,5496,81
20240613 102800,5495.75,5496.25,5495.5,5496.25,88
20240613 102900,5496.25,5496.75,5496,5496.5,45
20240613 103000,5496.75,5496.75,5496.5,5496.5,38
20240613 103100,5496.5,5496.75,5495.75,5495.75,51
20240613 103200,5496,5496,5495.75,5495.75,51
20240613 103300,5496,5496,5495.75,5495.75,20
20240613 103400,5496,5496.5,5496,5496.5,31
20240613 103500,5496.5,5496.5,5495.75,5496.25,214
20240613 103600,5496.25,5496.5,5496,5496,125
20240613 103700,5496,5496,5495.75,5495.75,34
20240613 103800,5496,5496.5,5495.75,5495.75,71
20240613 103900,5496,5496,5495.25,5495.5,42
20240613 104000,5495.25,5496,5495.25,5495.75,38
20240613 104100,5495.5,5496.25,5495.5,5495.5,116
20240613 104200,5495.5,5495.75,5495.5,5495.75,51
20240613 104300,5495.75,5496,5495.75,5495.75,25
20240613 104400,5495.75,5495.75,5495.75,5495.75,7
20240613 104500,5495.75,5496,5495.75,5496,17
20240613 104600,5495.75,5495.75,5495.75,5495.75,16
20240613 104700,5495.5,5496,5495.5,5495.5,25
20240613 104800,5495.5,5495.5,5495,5495.25,32
20240613 104900,5495.25,5495.75,5495.25,5495.75,9
20240613 105000,5495.75,5495.75,5495.5,5495.5,21
20240613 105100,5495.25,5495.25,5491.75,5493.5,269
20240613 105200,5493.5,5495,5493.25,5495,86
20240613 105300,5495,5495.5,5495,5495.25,53
20240613 105400,5495,5495.5,5495,5495,115
20240613 105500,5495,5495.75,5494.75,5495.5,84
20240613 105600,5495.75,5496.5,5495.75,5496.5,93
20240613 105700,5496.5,5498,5496.5,5497.25,155
20240613 105800,5497.5,5497.5,5497.25,5497.5,58
20240613 105900,5497.25,5497.25,5496.5,5497.25,80
20240613 110000,5497.25,5497.5,5497,5497.25,69
20240613 110100,5497.5,5498,5497.5,5498,74
20240613 110200,5498,5498.25,5497.75,5497.75,191
20240613 110300,5498,5498.75,5498,5498.75,92
20240613 110400,5498.75,5498.75,5498,5498.25,86
20240613 110500,5498.25,5498.5,5497.75,5497.75,83
20240613 110600,5497.75,5498,5497.25,5497.5,57
20240613 110700,5497.5,5498.25,5497.5,5498.25,40
20240613 110800,5498.25,5498.25,5497.75,5498,55
20240613 110900,5498.25,5498.25,5497.75,5497.75,34
20240613 111000,5497.75,5498,5497.5,5497.75,34
20240613 111100,5497.5,5497.5,5497.25,5497.5,31
20240613 111200,5497.75,5498.25,5497.75,5497.75,92
20240613 111300,5498,5499.25,5498,5499,125
20240613 111400,5498.75,5499.75,5498.75,5499.25,64
20240613 111500,5499.25,5499.75,5499.25,5499.75,90
20240613 111600,5500,5500.5,5500,5500.25,183
20240613 111700,5500.25,5500.75,5500.25,5500.5,53
20240613 111800,5500.5,5500.5,5500,5500,53
20240613 111900,5500.25,5500.25,5499.5,5499.5,49
20240613 112000,5499.5,5499.5,5498.75,5499,89
20240613 112100,5499,5499.5,5498.75,5499.25,78
20240613 112200,5499,5499,5498,5498.5,57
20240613 112300,5498.5,5498.75,5498.25,5498.5,53
20240613 112400,5498.5,5498.5,5498,5498.25,42
20240613 112500,5498,5498.75,5498,5498.75,37
20240613 112600,5499,5499,5498.25,5498.25,46
20240613 112700,5498.5,5499.25,5498.25,5499.25,45
20240613 112800,5499.25,5499.75,5498.75,5499,89
20240613 112900,5499,5499,5498.5,5499,57
20240613 113000,5499,5499.5,5499,5499.5,42
20240613 113100,5499.25,5499.5,5498.25,5498.5,75
20240613 113200,5498.5,5499.25,5498.5,5499.25,71
20240613 113300,5499.25,5499.25,5499,5499,56
20240613 113400,5499,5499.25,5498,5498.25,81
20240613 113500,5498.25,5498.75,5498.25,5498.5,92
20240613 113600,5498.5,5499,5498,5499,154
20240613 113700,5499.25,5500.25,5499.25,5500.25,106
20240613 113800,5500.25,5500.5,5500,5500.5,67
20240613 113900,5500.5,5500.5,5499.75,5500.25,67
20240613 114000,5500.5,5500.5,5499,5499,101
20240613 114100,5498.75,5499.5,5498.5,5499.5,138
20240613 114200,5499.5,5499.5,5498.5,5499.5,94
20240613 114300,5499.75,5500,5499,5499,100
20240613 114400,5499,5499.25,5498.75,5498.75,67
20240613 114500,5498.75,5498.75,5498.25,5498.25,75
20240613 114600,5498.25,5498.5,5498,5498,62
20240613 114700,5497.75,5498,5497.5,5497.75,29
20240613 114800,5497.75,5498.25,5497.75,5498,55
20240613 114900,5498,5498.25,5497.75,5498.25,34
20240613 115000,5498.25,5498.5,5498,5498,91
20240613 115100,5498,5498.5,5498,5498,43
